repo_url,implements_from_scratch,defines_new_protocol,has_novel_algorithms,is_foundational_infrastructure,implements_core_logic,is_wrapper_or_integration,is_template_or_scaffold,is_thin_wrapper,is_heavy_dependency,is_glue_code_or_middleware,is_utility_library_only,originality_score,reasoning
https://github.com/ethpandaops/checkpointz,0.35,0.0,0.0,0.0,0.4,0.65,0.0,0.3,0.45,0.76,0.1,0.265,This is primarily middleware/glue code that integrates with existing beacon chain clients rather than implementing novel algorithms or core infrastructure from scratch.
https://github.com/argotorg/act,0.9,0.95,0.6,0.15,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.804,"Act implements a novel formal specification language for EVM smart contracts with mathematical rigor and proof capabilities, though it has limited adoption as infrastructure."
https://github.com/ethdebug/format,0.1,0.75,0.0,0.0,0.35,0.0,0.0,0.0,1.0,0.25,0.0,0.31,Defines a debugging data format standard but is heavily dependent on transitive dependencies and has no external dependents
https://github.com/powdr-labs/powdr,0.9,0.66,0.95,0.16,0.95,0.05,0.0,0.0,0.0,0.1,0.0,0.795,"Powdr implements novel compiler-based techniques for zkVMs including constraint solvers and automated precompile synthesis from scratch, though it has limited dependents currently."
https://github.com/evmts/tevm-monorepo,0.86,0.06,0.14,0.02,0.83,0.19,0.0,0.02,0.88,0.26,0.0,0.55,Tevm implements an EVM from scratch in TypeScript but relies heavily on transitive dependencies and serves as integration middleware rather than defining new protocols.
https://github.com/TrueBlocks/trueblocks-core,0.86,0.6,0.51,0.14,0.93,0.07,0.0,0.0,0.0,0.14,0.0,0.715,"TrueBlocks implements a novel indexing system from scratch with its Unchained Index and binary cache technology, though it has limited external dependencies and serves more as specialized infrastructure rather than widely-used foundational tooling."
https://github.com/shazow/whatsabi,0.71,0.15,0.36,0.36,0.66,0.29,0.0,0.0,0.83,0.32,0.39,0.555,Implements novel bytecode analysis algorithms from scratch but relies heavily on transitive dependencies and serves as a utility library for ABI extraction.
https://github.com/chainsafe/lodestar,1.0,0.0,0.35,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745,"Lodestar is a full Ethereum consensus client implementation written from scratch in TypeScript with substantial original code and core protocol logic, though it implements existing Ethereum specifications rather than defining new protocols."
https://github.com/erigontech/silkworm,1.0,0.0,0.35,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Greenfield C++ implementation of Ethereum execution client with high direct dependency ratio and core protocol logic implementation.
https://github.com/ethpandaops/ethereum-helm-charts,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,1.0,0.0,0.07,"This is purely Kubernetes deployment configuration and Helm charts for existing Ethereum components, providing no original algorithmic or protocol implementation."
https://github.com/DefiLlama/DefiLlama-Adapters,0.0,0.0,0.0,0.0,0.0,0.96,0.5,0.14,0.0,0.98,0.35,0.07,"This is a template repository for creating DeFi TVL adapters with no dependencies, serving as integration middleware and scaffolding rather than implementing original core logic."
https://github.com/blockscout/blockscout,0.39,0.0,0.0,0.06,0.46,0.59,0.0,0.3,0.81,0.61,0.0,0.305,Blockscout is primarily an integration layer and UI wrapper around Ethereum JSON-RPC APIs with heavy dependency usage and no novel algorithms or protocol definitions.
https://github.com/argotorg/hevm,0.9,0.0,0.66,0.06,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.72,"hevm implements a symbolic EVM execution engine from scratch with novel symbolic execution algorithms, though it doesn't define new protocols and has no dependents."
https://github.com/wevm/viem,0.1,0.0,0.0,1.0,0.1,0.96,0.0,0.35,0.0,0.31,0.29,0.33,"Viem is primarily a TypeScript wrapper/abstraction layer over JSON-RPC APIs with utility functions, but has become foundational infrastructure with 995 dependents despite not implementing core algorithms from scratch."
https://github.com/vyperlang/vyper,1.0,1.0,0.65,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,"Vyper is a complete smart contract language implementation with its own compiler, syntax, and optimization passes, representing foundational Ethereum infrastructure."
https://github.com/vyperlang/titanoboa,0.4,0.0,0.0,0.29,0.71,0.6,0.0,0.15,0.0,0.61,0.1,0.465,"An integration layer that combines vyper compiler and py-evm to provide debugging features, with some original instrumentation logic but primarily glue code."
https://github.com/status-im/nimbus-eth2,1.0,0.0,0.5,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,"Nimbus-eth2 is a full consensus client implementation from scratch with optimized algorithms for resource-constrained environments, though it implements an existing protocol rather than defining a new one."
https://github.com/scaffold-eth/scaffold-eth-2,0.0,0.0,0.0,0.0,0.04,0.88,1.0,0.2,0.0,0.76,0.06,0.07,This is a developer template/scaffolding tool that integrates existing Ethereum development libraries rather than implementing original core protocols or algorithms.
https://github.com/OffchainLabs/prysm,1.0,0.25,0.35,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,"Prysm is a full from-scratch implementation of Ethereum's consensus protocol with core logic and cryptographic algorithms, though it implements rather than defines the protocol and has no OSO dependents."
https://github.com/safe-global/safe-smart-account,0.25,0.1,0.0,0.0,0.31,0.55,0.0,0.35,0.0,0.55,0.3,0.305,This is primarily a smart contract wrapper library providing integration with Safe accounts rather than implementing novel protocols or algorithms from scratch.
https://github.com/paradigmxyz/reth,1.0,0.0,0.35,0.16,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.73,"Reth is a complete from-scratch implementation of Ethereum protocol in Rust with core execution logic, though it implements existing standards rather than defining new ones."
https://github.com/openzeppelin/openzeppelin-contracts,0.71,0.36,0.1,1.0,0.78,0.0,0.0,0.0,0.0,0.0,0.29,0.735,"OpenZeppelin Contracts implements core smart contract security patterns from scratch, serves as foundational infrastructure with 1794 dependents, and defines reusable components while implementing standard protocols."
https://github.com/nomicfoundation/hardhat,0.56,0.0,0.0,1.0,0.73,0.54,0.15,0.0,0.0,0.61,0.0,0.65,"Hardhat is primarily a development environment and integration layer that orchestrates existing tools rather than implementing novel algorithms, but it has substantial original logic and is foundational infrastructure with over 1,100 dependents."
https://github.com/nethermindeth/nethermind,1.0,0.0,0.35,0.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805,"Nethermind is a full Ethereum execution client implemented from scratch in C# with core EVM logic and high throughput optimizations, making it foundational infrastructure despite having no OSO dependents."
https://github.com/nethereum/nethereum,0.06,0.0,0.0,0.19,0.06,0.98,0.0,0.54,0.0,0.86,0.45,0.15,This is primarily a .NET integration library wrapping Ethereum JSON-RPC APIs with minimal original algorithmic content and very few dependents.
https://github.com/hyperledger-web3j/web3j,0.06,0.0,0.0,0.04,0.04,0.98,0.0,0.96,0.0,0.69,0.35,0.09,This is a thin Java wrapper library for Ethereum JSON-RPC API integration with minimal original logic beyond API calls.
https://github.com/grandinetech/grandine,0.9,0.0,0.4,0.06,0.95,0.0,0.0,0.0,0.35,0.0,0.0,0.67,"Grandine is an original Ethereum consensus client implementation with substantial core logic and optimizations, but follows existing protocols rather than defining new ones and has no external dependents."
https://github.com/foundry-rs/foundry,0.73,0.21,0.24,0.46,0.93,0.12,0.05,0.05,0.15,0.12,0.05,0.71,"Foundry implements core Ethereum development tools from scratch in Rust including EVM execution, testing framework, and local node, with substantial original logic though it builds on some existing cryptographic primitives."
https://github.com/ethers-io/ethers.js,0.56,0.0,0.0,1.0,0.73,0.61,0.0,0.19,0.0,0.02,0.1,0.68,Ethers.js is a foundational infrastructure library with 2595 dependents that implements wallet functionality from scratch but primarily wraps JSON-RPC APIs.
https://github.com/argotorg/sourcify,0.39,0.21,0.05,0.04,0.51,0.49,0.0,0.15,0.0,0.56,0.1,0.4,"Sourcify implements verification logic from scratch but primarily serves as middleware integration layer connecting compilers, metadata, and blockchain data for source verification."
https://github.com/argotorg/solidity,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,"Solidity is the original smart contract language compiler implementing novel parsing, optimization, and code generation algorithms from scratch"
https://github.com/remix-project-org/remix-project,0.44,0.06,0.0,0.06,0.51,0.54,0.0,0.15,0.0,0.32,0.1,0.35,"Remix IDE is primarily an integration layer wrapping existing Solidity compilers and Ethereum tools with a browser-based UI, though it contains some original development tooling logic."
https://github.com/ethereum/go-ethereum,1.0,0.35,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895,"Go Ethereum is the original Golang implementation of Ethereum's execution layer with 12+ years of development, implementing core protocol logic from scratch and serving as foundational infrastructure for 398+ dependent projects."
https://github.com/argotorg/fe,1.0,1.0,0.65,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.844,"Fe is a complete compiler implementation for a new smart contract language with Rust-like syntax and EVM bytecode generation, representing highly original work in language design and compiler development."
https://github.com/ethereum/execution-apis,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,"This repository defines the official JSON-RPC API specification for Ethereum execution clients, making it protocol-defining work rather than implementation code."
https://github.com/ethereum/eips,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.69,"This repository defines new protocols and standards (EIPs) that are foundational to Ethereum, though it contains documentation rather than implementation code and has heavy transitive dependencies."
https://github.com/ethereum-lists/chains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,"This is purely a metadata repository providing chain information without any original algorithms, protocols, or core logic implementation."
https://github.com/ethereum/consensus-specs,0.35,1.0,0.5,1.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.865,"This is the canonical specification repository that defines the Ethereum Proof-of-Stake consensus protocol, making it foundational infrastructure with novel algorithms despite being specifications rather than implementations."
https://github.com/erigontech/erigon,1.0,0.35,0.35,0.25,1.0,0.0,0.0,0.0,0.15,0.0,0.0,0.745,"Erigon is a full Ethereum execution client implementation from scratch with novel optimizations and architectural approaches, making it foundational infrastructure despite having moderate dependencies."
https://github.com/consensys/teku,1.0,0.1,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,"Teku is a full Ethereum consensus client implementation written from scratch in Java with substantial core logic and foundational infrastructure role, though it implements rather than defines protocols."
https://github.com/apeworx/ape,0.25,0.0,0.0,0.36,0.39,0.65,0.0,0.34,0.0,0.6,0.25,0.36,Ape is primarily a Web3 development framework and integration layer that wraps existing blockchain APIs and tools rather than implementing novel algorithms or protocols from scratch.
